epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3001.66,0.59678,0.41698,1.06831,0.94323,0.89401,0.95146,0.83963,0.50968,0.34586,1.02413,0.005842,0.005842,0.005842
44,3070.84,0.59473,0.41449,1.06778,0.94221,0.89601,0.95185,0.84052,0.5088,0.34426,1.02095,0.005743,0.005743,0.005743
45,3139.78,0.59586,0.41592,1.06633,0.94218,0.89552,0.95191,0.84038,0.50673,0.34377,1.01879,0.005644,0.005644,0.005644
46,3208.42,0.59182,0.41239,1.06366,0.94408,0.89484,0.9525,0.8412,0.50584,0.34089,1.0176,0.005545,0.005545,0.005545
47,3277.26,0.5951,0.41269,1.06411,0.94306,0.89654,0.95327,0.84189,0.50645,0.33947,1.01774,0.005446,0.005446,0.005446
48,3346.13,0.59029,0.4105,1.06167,0.94369,0.8968,0.95331,0.8427,0.50525,0.33907,1.01681,0.005347,0.005347,0.005347
49,3414.89,0.58505,0.40553,1.05982,0.94285,0.89674,0.95356,0.84329,0.50467,0.33741,1.01671,0.005248,0.005248,0.005248
50,3484.41,0.58537,0.40459,1.05859,0.94495,0.8955,0.95389,0.84362,0.50448,0.33665,1.01658,0.005149,0.005149,0.005149
51,3552.98,0.5857,0.40434,1.05774,0.94478,0.89596,0.9536,0.84383,0.50311,0.33556,1.01518,0.00505,0.00505,0.00505
52,3621.79,0.5818,0.40077,1.05335,0.94364,0.89749,0.95363,0.84372,0.50279,0.33476,1.01347,0.004951,0.004951,0.004951
53,3691.61,0.57791,0.39777,1.05356,0.944,0.89788,0.95365,0.8441,0.50179,0.33404,1.01304,0.004852,0.004852,0.004852
54,3760.44,0.57981,0.39827,1.04932,0.94525,0.89798,0.9538,0.84457,0.50069,0.333,1.01087,0.004753,0.004753,0.004753
55,3829.51,0.5805,0.39886,1.04928,0.94342,0.89943,0.95415,0.84491,0.49963,0.33231,1.00855,0.004654,0.004654,0.004654
56,3898.27,0.57724,0.39738,1.04821,0.94286,0.89952,0.95449,0.84523,0.49921,0.33164,1.00796,0.004555,0.004555,0.004555
57,3967.47,0.57626,0.39318,1.04637,0.94201,0.89968,0.95453,0.84564,0.49869,0.33091,1.00661,0.004456,0.004456,0.004456
58,4036.86,0.57355,0.3934,1.04657,0.94333,0.89919,0.95496,0.84605,0.49786,0.33016,1.00549,0.004357,0.004357,0.004357
59,4123.85,0.57198,0.38868,1.04208,0.94245,0.90003,0.95495,0.84701,0.49726,0.3295,1.00461,0.004258,0.004258,0.004258
60,4214.64,0.57395,0.39204,1.0422,0.94408,0.89913,0.95517,0.8474,0.4967,0.32888,1.00341,0.004159,0.004159,0.004159
61,4304.83,0.57302,0.3876,1.04116,0.94438,0.89926,0.9552,0.8475,0.49618,0.32815,1.00238,0.00406,0.00406,0.00406
62,4395.28,0.57083,0.38566,1.04026,0.94361,0.90116,0.95529,0.84805,0.49593,0.32711,1.00199,0.003961,0.003961,0.003961
63,4485.61,0.56693,0.38587,1.04238,0.9442,0.90061,0.9554,0.84816,0.49532,0.32667,1.00182,0.003862,0.003862,0.003862
64,4573.9,0.56997,0.38597,1.04074,0.94465,0.9005,0.95538,0.84849,0.49501,0.32602,1.00143,0.003763,0.003763,0.003763
65,4662.3,0.56723,0.38346,1.03778,0.94655,0.89952,0.95567,0.84897,0.49458,0.32539,1.00114,0.003664,0.003664,0.003664
66,4752.08,0.56303,0.3808,1.03349,0.94703,0.89998,0.9557,0.84918,0.49432,0.32488,1.00026,0.003565,0.003565,0.003565
67,4840.84,0.56488,0.3819,1.035,0.94669,0.90028,0.95593,0.84952,0.49386,0.32437,0.99954,0.003466,0.003466,0.003466
68,4930.05,0.56143,0.37812,1.03368,0.94657,0.89932,0.9559,0.84933,0.49356,0.32413,0.99907,0.003367,0.003367,0.003367
69,5020.16,0.56263,0.37807,1.03544,0.9469,0.89945,0.95617,0.84968,0.49335,0.32381,0.9987,0.003268,0.003268,0.003268
70,5111.88,0.56211,0.37608,1.03119,0.94722,0.89862,0.95634,0.85021,0.49318,0.3234,0.99818,0.003169,0.003169,0.003169
71,5203.55,0.5572,0.37507,1.03009,0.94747,0.8988,0.95638,0.85024,0.49274,0.32301,0.99752,0.00307,0.00307,0.00307
72,5295.15,0.55727,0.37507,1.03134,0.94839,0.89855,0.95657,0.85046,0.49238,0.32256,0.997,0.002971,0.002971,0.002971
73,5386.6,0.55661,0.37243,1.03047,0.94778,0.89913,0.95646,0.8506,0.49211,0.32221,0.99669,0.002872,0.002872,0.002872
74,5479.08,0.55656,0.3716,1.02817,0.94792,0.89895,0.9565,0.85097,0.49206,0.32198,0.99647,0.002773,0.002773,0.002773
75,5569.81,0.55392,0.3707,1.0257,0.94785,0.89936,0.95657,0.85158,0.49168,0.32173,0.99593,0.002674,0.002674,0.002674
76,5661.31,0.55304,0.36838,1.0278,0.94747,0.89959,0.95658,0.85157,0.49138,0.32126,0.99568,0.002575,0.002575,0.002575
77,5751.85,0.55219,0.36881,1.02691,0.94638,0.90051,0.95684,0.85159,0.49103,0.32087,0.99527,0.002476,0.002476,0.002476
78,5843.06,0.55005,0.36633,1.02589,0.94626,0.90071,0.95695,0.85193,0.49075,0.32061,0.99509,0.002377,0.002377,0.002377
79,5934.62,0.55244,0.36623,1.02611,0.94696,0.90047,0.95705,0.85201,0.49052,0.3202,0.99479,0.002278,0.002278,0.002278
80,6026.54,0.55034,0.36442,1.02078,0.94674,0.9006,0.95717,0.85192,0.4903,0.32001,0.99446,0.002179,0.002179,0.002179
81,6118.27,0.54898,0.36385,1.02272,0.94642,0.90064,0.95724,0.85219,0.49023,0.31957,0.99428,0.00208,0.00208,0.00208
