epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1995,0.68982,1.0013,1.03261,0.86601,0.78702,0.85784,0.67809,0.7192,0.74054,0.99567,0.000665158,0.000665158,0.000665158
2,125.319,0.63453,0.62111,0.9833,0.8623,0.75873,0.84966,0.67952,0.72667,0.71158,1.00254,0.00130545,0.00130545,0.00130545
3,181.748,0.6295,0.57008,0.98484,0.88616,0.80155,0.88012,0.72431,0.6789,0.60678,0.96458,0.00191935,0.00191935,0.00191935
4,237.55,0.60286,0.53059,0.97205,0.86973,0.80704,0.88231,0.71934,0.6673,0.62382,0.96412,0.0018812,0.0018812,0.0018812
5,296.012,0.58203,0.49812,0.96262,0.90319,0.81215,0.89164,0.74093,0.6431,0.55942,0.95115,0.0018416,0.0018416,0.0018416
6,351.885,0.56719,0.47436,0.9565,0.87489,0.82914,0.89152,0.73963,0.63107,0.54999,0.94663,0.001802,0.001802,0.001802
7,412.208,0.55952,0.46868,0.94956,0.91013,0.8372,0.90897,0.76664,0.61471,0.49146,0.9358,0.0017624,0.0017624,0.0017624
8,470.721,0.54679,0.44592,0.94593,0.90453,0.83261,0.9109,0.76902,0.6015,0.51609,0.91864,0.0017228,0.0017228,0.0017228
9,530.974,0.53853,0.43763,0.94145,0.91888,0.84178,0.91674,0.7835,0.58164,0.46736,0.92137,0.0016832,0.0016832,0.0016832
10,591.282,0.52808,0.42154,0.93844,0.91344,0.84997,0.91963,0.78046,0.5857,0.46344,0.9171,0.0016436,0.0016436,0.0016436
11,649.545,0.52593,0.4207,0.9375,0.91232,0.8529,0.92124,0.78906,0.57093,0.46733,0.91334,0.001604,0.001604,0.001604
12,711.677,0.51809,0.40968,0.93138,0.90784,0.84273,0.9151,0.77744,0.58012,0.46106,0.91827,0.0015644,0.0015644,0.0015644
13,772.558,0.51596,0.40493,0.93087,0.90342,0.8466,0.90928,0.77286,0.57856,0.47307,0.91777,0.0015248,0.0015248,0.0015248
14,834.512,0.51399,0.40114,0.92993,0.92086,0.84634,0.92311,0.79536,0.56355,0.44938,0.90883,0.0014852,0.0014852,0.0014852
15,892.393,0.50796,0.39265,0.9262,0.92518,0.8598,0.92829,0.80018,0.5545,0.42927,0.89892,0.0014456,0.0014456,0.0014456
16,950.62,0.50564,0.38869,0.92508,0.92301,0.86106,0.92797,0.80138,0.5559,0.41898,0.91212,0.001406,0.001406,0.001406
17,1009.92,0.50015,0.38321,0.92447,0.92258,0.86216,0.93093,0.8036,0.54925,0.41397,0.90387,0.0013664,0.0013664,0.0013664
