epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7768,3.15803,2.95787,3.70493,0.20179,0.23944,0.12364,0.04351,2.72036,2.65556,3.23607,0.0006629,0.0006629,0.0006629
2,61.5308,1.76422,1.68138,2.16756,0.69903,0.57313,0.62328,0.39102,1.53995,1.52879,1.94082,0.0013164,0.0013164,0.0013164
3,90.1781,1.25329,1.17312,1.65625,0.7513,0.61182,0.69288,0.46069,nan,nan,nan,0.00195671,0.00195671,0.00195671
4,117.81,1.09122,0.99167,1.49738,0.79875,0.66045,0.74236,0.52203,1.13779,1.04167,1.54874,0.0019406,0.0019406,0.0019406
5,145.071,0.9966,0.89353,1.41154,0.77905,0.61279,0.69758,0.50115,1.1246,1.10652,1.51977,0.0019208,0.0019208,0.0019208
6,173.366,0.9432,0.82898,1.36799,0.82599,0.68075,0.77723,0.57313,1.00456,0.9034,1.42326,0.001901,0.001901,0.001901
7,200.583,0.9035,0.78332,1.3249,0.82386,0.65524,0.75329,0.56135,0.98983,0.93867,1.40692,0.0018812,0.0018812,0.0018812
8,229.137,0.86906,0.7629,1.30701,0.83354,0.69247,0.78605,0.59091,0.94549,0.84624,1.3706,0.0018614,0.0018614,0.0018614
9,256.843,0.84464,0.73666,1.28706,0.84476,0.71632,0.80374,0.59981,0.9338,0.81255,1.34745,0.0018416,0.0018416,0.0018416
10,283.96,0.82001,0.70325,1.25766,0.84558,0.71913,0.81228,0.62117,0.88424,0.77788,1.30861,0.0018218,0.0018218,0.0018218
11,310.538,0.79899,0.68985,1.24214,0.85345,0.71903,0.81089,0.62347,0.8896,0.78364,1.29933,0.001802,0.001802,0.001802
12,337.75,0.78191,0.66364,1.23057,0.86487,0.72864,0.82577,0.64288,0.84483,0.73423,1.27845,0.0017822,0.0017822,0.0017822
13,365.741,0.7609,0.64979,1.21565,0.85826,0.73705,0.82542,0.64106,0.84619,0.7402,1.2633,0.0017624,0.0017624,0.0017624
14,393.279,0.74094,0.63245,1.19616,0.86071,0.73828,0.82634,0.6432,0.83545,0.72504,1.25977,0.0017426,0.0017426,0.0017426
15,421.759,0.72327,0.60924,1.18119,0.84258,0.74691,0.82788,0.64466,0.81554,0.7298,1.24366,0.0017228,0.0017228,0.0017228
16,448.388,0.71277,0.59859,1.1733,0.87164,0.75615,0.83757,0.65489,0.81934,0.69716,1.25028,0.001703,0.001703,0.001703
17,477.018,0.72232,0.60487,1.17934,0.8689,0.75778,0.84227,0.66536,0.79697,0.69112,1.22498,0.0016832,0.0016832,0.0016832
18,504.053,0.70948,0.59153,1.1663,0.86703,0.7538,0.8408,0.66527,0.79666,0.67519,1.22152,0.0016634,0.0016634,0.0016634
19,530.871,0.6859,0.57485,1.15378,0.8769,0.75566,0.84453,0.67535,0.76666,0.66025,1.20656,0.0016436,0.0016436,0.0016436
20,557.952,0.6835,0.57355,1.14855,0.86669,0.75218,0.83826,0.67093,0.7788,0.68134,1.2101,0.0016238,0.0016238,0.0016238
21,585.516,0.67463,0.55597,1.13754,0.86951,0.75742,0.84717,0.67784,0.76738,0.66082,1.20066,0.001604,0.001604,0.001604
22,612.793,0.67081,0.55785,1.13753,0.87564,0.75421,0.84187,0.67811,0.75945,0.66575,1.18778,0.0015842,0.0015842,0.0015842
23,636.768,0.65995,0.54007,1.12928,0.87935,0.75513,0.84945,0.68316,0.75476,0.64925,1.18961,0.0015644,0.0015644,0.0015644
24,660.286,0.66386,0.54633,1.12885,0.87766,0.75442,0.84463,0.68508,0.74756,0.64765,1.18078,0.0015446,0.0015446,0.0015446
25,684.207,0.65182,0.53597,1.11939,0.88908,0.76901,0.85894,0.6932,0.73839,0.622,1.17072,0.0015248,0.0015248,0.0015248
